timestamp,seconds,minutes,hours,day,month,year,co2,co,PM,light,temp in c,pressure,humidity
1680046214.0186052,13,30,18,28,3,2023,982.9366455078125,0.10,3.6,357.5808,21.451118181372294,975.9523822974002,34.30248101638617
1680046217.6678338,17,30,18,28,3,2023,982.7567138671875,0.10,3.7,357.5808,21.461249812698224,975.8886098516741,34.30233416408606
1680046221.3167963,21,30,18,28,3,2023,982.2846069335938,0.10,3.5,355.7376,21.466315628797748,975.9234851525538,34.31363543773179
1680046224.9607828,24,30,18,28,3,2023,982.601806640625,0.12,3.6,357.5808,21.461249812698224,975.8455650022968,34.2970259782157
1680046228.6114454,28,30,18,28,3,2023,981.780517578125,0.11,3.6,357.5808,21.471381445188307,975.9316557275412,34.29132571376854
1680046232.2585971,32,30,18,28,3,2023,981.0367431640625,0.11,3.7,357.5808,21.466315628797748,975.8967801744443,34.29137480050364
1680046235.9061725,35,30,18,28,3,2023,981.1007690429688,0.10,3.6,357.5808,21.471381445188307,975.8886098516741,34.291423877204856
1680046239.5560856,39,30,18,28,3,2023,980.5499267578125,0.10,3.5,355.7376,21.476447261869907,975.9049505283833,34.29132571376854
1680046243.2020998,43,30,18,28,3,2023,980.98779296875,0.09,3.5,355.7376,21.471381445188307,975.878245346842,34.30233416408606
1680046246.8480895,46,30,18,28,3,2023,979.6673583984375,0.10,3.5,355.7376,21.466315628797748,975.9049505283833,34.26930870703661
1680046250.4981008,50,30,18,28,3,2023,979.0772094726562,0.09,3.5,355.7376,21.471381445188307,975.9049505283833,34.24729155884216
1680046254.147886,54,30,18,28,3,2023,978.760986328125,0.10,3.5,355.7376,21.471381445188307,975.9316557275412,34.181239265483676
1680046257.7922204,57,30,18,28,3,2023,977.9320678710938,0.11,3.6,355.7376,21.471381445188307,975.878245346842,34.14821264136843
1680046261.4410143,1,31,18,28,3,2023,977.7189331054688,0.11,3.5,353.8944,21.476447261869907,976.0014083063803,34.13164828704037
1680046265.0880983,5,31,18,28,3,2023,977.358642578125,0.09,3.5,337.30559999999997,21.471381445188307,975.9479969710172,34.13159735409441
1680046268.7366185,8,31,18,28,3,2023,977.8406372070312,0.10,3.5,355.7376,21.476447261869907,975.9131209134899,34.09316756053042
1680046272.3840952,12,31,18,28,3,2023,976.849609375,0.10,3.4,355.7376,21.476447261869907,975.9665317715198,34.05473905689216
1680046276.0309362,16,31,18,28,3,2023,nan,0.10,3.4,355.7376,21.476447261869907,975.9131209134899,34.05463547788006
1680046279.6793213,19,31,18,28,3,2023,976.3316040039062,0.11,3.4,355.7376,21.471381445188307,975.878245346842,34.05463547788006
1680046283.3270621,23,31,18,28,3,2023,974.3880004882812,0.11,3.3,355.7376,21.471381445188307,975.9583609443152,34.07655074852657
1680046286.9734595,26,31,18,28,3,2023,nan,0.11,3.3,355.7376,21.481513078842546,975.894585706122,34.0987746798071
1680046290.621991,30,31,18,28,3,2023,973.1188354492188,0.10,3.3,355.7376,21.461249812698224,975.8886098516741,34.120690211467014
1680046294.2708511,34,31,18,28,3,2023,972.049072265625,0.10,3.4,357.5808,21.471381445188307,975.9850661787058,34.14270817307096
1680046297.9209986,37,31,18,28,3,2023,nan,0.10,3.4,355.7376,21.471381445188307,975.9850661787058,34.14816190737616
1680046301.5670147,41,31,18,28,3,2023,971.3363647460938,0.10,3.3,355.7376,21.476447261869907,975.8967801744443,34.15927214945191
1680046305.2161424,45,31,18,28,3,2023,970.0476684570312,0.09,3.3,355.7376,21.481513078842546,975.9398263336966,34.186693378703346
