timestamp,seconds,minutes,hours,day,month,year,co2,PM1,light,temp in c,pressure,humidity
1681377542.4572628,19,45,7,13,4,2023,313.828857421875,5.4,287.5392,21.050919675175102,953.2616157126214,46.76624080171185
1681377583.036263,0,46,7,13,4,2023,313.828857421875,4.6,305.9712,21.076248640712585,953.3095320253404,46.7887233631365
1681377642.9270039,0,47,7,13,4,2023,329.96771240234375,4.5,313.344,21.081314434693194,953.3095320253404,47.39148721062129
1681377703.0179515,0,48,7,13,4,2023,349.3363037109375,4.5,280.1664,21.116775000706546,953.2507504086119,47.47417239883968
1681377762.9434223,0,49,7,13,4,2023,346.44476318359375,3.5,241.45919999999998,21.086380228964845,953.069471504581,47.62715113954543
1681377823.0496478,0,50,7,13,4,2023,375.26239013671875,2.9,250.6752,21.14210398516152,953.1919595856791,47.12411907286467
1681377882.9513967,0,51,7,13,4,2023,360.0738220214844,2.7,250.6752,21.177564575622092,953.2184522690898,46.40165386135412
1681377943.028567,0,52,7,13,4,2023,357.84844970703125,2.6,252.51839999999999,21.187696175515885,953.1650960015098,46.067281946056134
1681378002.9157698,0,53,7,13,4,2023,354.09765625,2.7,191.6928,21.19782777657383,953.1997585356129,46.05631837614369
1681378063.051389,0,54,7,13,4,2023,353.9493103027344,2.6,191.6928,21.182630375423468,953.2558385565112,46.26992495973371
1681378122.924242,0,55,7,13,4,2023,356.7688903808594,2.8,191.6928,21.172498776111752,953.1144661761002,46.54936948617331
1681378183.0130577,0,56,7,13,4,2023,360.1271057128906,2.9,191.6928,21.15223558098078,953.2238988247814,46.65322508948711
1681378242.9452043,0,57,7,13,4,2023,360.1271057128906,3.0,191.6928,21.15223558098078,953.2425906187746,46.71360301221743
1681378303.0318518,0,58,7,13,4,2023,364.615234375,3.6,189.84959999999998,21.16236717796419,953.3492973945897,46.84494070157773
1681378362.9260588,0,59,7,13,4,2023,364.85107421875,3.3,191.6928,21.16236717796419,953.3385921831577,47.00962971078279
1681378423.0373876,0,0,8,13,4,2023,370.7703552246094,4.2,42.3936,21.16236717796419,953.365269345061,47.173927279862944
1681378482.9171731,0,1,8,13,4,2023,372.118408203125,4.3,42.3936,21.172498776111752,953.434596678408,47.39320859386285
1681378543.00202,0,2,8,13,4,2023,377.4970397949219,4.3,44.2368,21.182630375423468,953.4238916780862,47.4373483992121
1681378602.880364,0,3,8,13,4,2023,384.6159973144531,4.7,44.2368,21.202893577539363,953.375800539732,47.350178261622126
1681378662.9784493,0,4,8,13,4,2023,391.7002258300781,5.2,44.2368,21.218090982182183,953.3917722227241,47.33383874307932
1681378722.8797393,0,5,8,13,4,2023,415.29498291015625,5.1,44.2368,21.26368321182672,953.3382249478532,48.1678025590896
1681378782.9745307,0,6,8,13,4,2023,507.13134765625,5.3,44.2368,21.299143851181725,953.3407552504272,47.960333283289515
1681378842.879451,0,7,8,13,4,2023,568.3635864257812,5.3,44.2368,21.339670313621173,953.2978962116146,48.141828179178326
1681378902.9959006,0,8,8,13,4,2023,571.2954711914062,5.3,44.2368,21.364999362104573,953.2230912366316,47.983544084617236
1681378962.9293783,0,9,8,13,4,2023,571.2954711914062,5.3,44.2368,21.38526260612998,953.2096357424106,48.028038034198005
1681379023.0379996,0,10,8,13,4,2023,560.5384521484375,5.2,44.2368,21.40046004220494,953.169489059177,47.99009980456433
1681379082.9239442,0,11,8,13,4,2023,566.3555908203125,5.7,44.2368,21.410591667710104,953.2228642984003,47.957211041657125
1681379143.027589,0,12,8,13,4,2023,565.91455078125,5.6,44.2368,21.451118181372294,953.1906966216521,47.92496192741103
1681379202.9069223,0,13,8,13,4,2023,563.9713745117188,5.1,44.2368,21.461249812698224,953.1158683100933,47.99095901042754
1681379263.002564,0,14,8,13,4,2023,569.957763671875,5.0,44.2368,21.461249812698224,953.1772301035583,48.06254787461303
1681379322.8884583,0,15,8,13,4,2023,576.4387817382812,4.1,44.2368,21.491644713660936,953.2438332258778,48.15102259161057
1681379382.9790237,0,16,8,13,4,2023,593.05126953125,4.1,44.2368,21.542302905215184,953.1981773980614,48.300037941709064
1681379442.8682544,0,17,8,13,4,2023,603.9368896484375,4.6,44.2368,21.552434547018493,953.2061593500353,48.08620883282083
1681379502.9626813,0,18,8,13,4,2023,610.3661499023438,4.2,44.2368,21.58282947941334,953.1552531840933,48.45992987154703
1681379562.8475955,0,19,8,13,4,2023,622.4940795898438,4.0,44.2368,21.623356072237947,953.1844263485211,48.400399530919316
1681379623.5929422,0,20,8,13,4,2023,623.5321044921875,4.0,44.2368,21.668948511430063,953.2749761006532,48.28612845528878
1681379682.9160442,0,21,8,13,4,2023,623.5321044921875,3.7,42.3936,21.679080167785287,953.2455233223009,48.39625437136285
1681379743.0096169,0,22,8,13,4,2023,630.5901489257812,3.7,44.2368,21.69427765450091,953.1786301605944,48.42412207755792
1681379802.9270446,0,23,8,13,4,2023,636.0438842773438,3.7,44.2368,21.729738467023708,953.2719363890393,48.177969978905246
1681379863.0423753,0,24,8,13,4,2023,643.305908203125,3.8,44.2368,21.76519929380738,953.2744004805676,48.035782233802856
1681379922.9227877,0,25,8,13,4,2023,647.4249267578125,3.9,44.2368,21.79052846452687,953.3143060783611,47.9925370087982
1681379983.0110908,0,26,8,13,4,2023,655.2952270507812,3.3,44.2368,21.82598931575776,953.3434697961688,48.053741480272265
1681380042.910003,0,27,8,13,4,2023,661.8599853515625,3.4,44.2368,21.841186827793717,953.2498438591911,48.31214645474337
1681380103.0053327,0,28,8,13,4,2023,665.8576049804688,3.5,44.2368,21.866516020341077,953.2203706009648,48.39488510617193
1681380162.872149,0,29,8,13,4,2023,671.9530639648438,3.5,42.3936,21.896911061002175,953.2575018765535,48.39566206291132
1681380223.0038118,0,30,8,13,4,2023,676.5546264648438,4.1,42.3936,21.91717442726367,953.1399158458116,48.13249571359479
1681380282.904383,0,31,8,13,4,2023,676.8967895507812,4.1,42.3936,21.907042743550846,953.1399158458116,48.07213303216349
1681380342.8486178,0,32,8,13,4,2023,676.8967895507812,3.5,40.550399999999996,21.907042743550846,953.2040843426153,48.148741800217955
1681380402.9493928,0,33,8,13,4,2023,677.2695922851562,3.6,42.3936,21.907042743550846,953.2040843426153,48.40663588044562
1681380462.8262863,0,34,8,13,4,2023,681.1577758789062,3.3,40.550399999999996,21.91210858526174,953.051810322298,48.47225435523345
1681380522.9371746,0,35,8,13,4,2023,686.8118286132812,3.6,42.3936,21.91717442726367,953.1052280862449,48.43418166027504
1681380583.022497,0,36,8,13,4,2023,689.9740600585938,3.6,42.3936,21.922240269556642,953.0677667299227,48.516821357877745
1681380642.887531,0,37,8,13,4,2023,700.121826171875,4.8,42.3936,21.937437798181783,953.003594095575,48.538881714640254
1681380703.0063741,0,38,8,13,4,2023,710.673828125,4.7,42.3936,21.937437798181783,953.1184115472175,48.28625102315161
1681380762.906823,0,39,8,13,4,2023,716.3749389648438,4.8,40.550399999999996,21.932371955015697,953.0649916100431,48.35242901421396
1681380822.8428109,0,40,8,13,4,2023,726.8723754882812,5.2,40.550399999999996,21.932371955015697,953.003594095575,48.13281949177565
1681380882.9420357,0,41,8,13,4,2023,735.1908569335938,5.3,40.550399999999996,21.922240269556642,953.051810322298,48.12141293922626
1681380942.8148477,0,42,8,13,4,2023,735.6215209960938,5.3,40.550399999999996,21.91210858526174,953.1853548644738,48.17650360796813
1681381002.943303,0,43,8,13,4,2023,734.5167846679688,7.4,40.550399999999996,21.907042743550846,953.1506668792404,48.220294063908625
1681381062.876223,0,44,8,13,4,2023,734.5167846679688,7.6,40.550399999999996,21.90197690213099,953.2228134271662,48.313137237757374
1681381122.9995651,0,45,8,13,4,2023,735.9754028320312,7.9,40.550399999999996,21.87664769939729,953.1829155163063,48.34035102640629
1681381182.8923883,0,46,8,13,4,2023,734.85009765625,8.0,40.550399999999996,21.881713539361954,953.1482288133657,48.41134450773412
1681381243.0116537,0,47,8,13,4,2023,734.6339111328125,8.6,40.550399999999996,21.871581859723666,953.1482288133657,48.438888189898506
1681381302.915611,0,48,8,13,4,2023,736.8839721679688,9.0,40.550399999999996,21.87664769939729,953.1669565653257,48.56484877525312
1681381363.0161505,0,49,8,13,4,2023,738.745361328125,9.9,40.550399999999996,21.87664769939729,953.0493785274236,48.603478365882886
1681381422.900016,0,50,8,13,4,2023,738.600341796875,9.6,40.550399999999996,21.886779379617657,953.0198978726373,48.64770936205056
1681381482.9918277,0,51,8,13,4,2023,739.413818359375,10.4,40.550399999999996,21.896911061002175,952.947751413371,48.691714016833785
1681381542.8985639,0,52,8,13,4,2023,741.7417602539062,9.2,40.550399999999996,21.91210858526174,952.9716838086865,48.61524513264553
1681381603.0093908,0,53,8,13,4,2023,739.2589111328125,9.2,40.550399999999996,21.922240269556642,952.934220420282,48.516933645668544
1681381662.9026773,0,54,8,13,4,2023,743.1943359375,10.1,40.550399999999996,21.92730611214065,952.9421975655349,48.39610581849149
1681381722.9779599,0,55,8,13,4,2023,746.307373046875,9.5,40.550399999999996,21.92730611214065,952.9421975655349,48.36296154604781
1681381782.9079032,0,56,8,13,4,2023,746.307373046875,9.6,40.550399999999996,21.92730611214065,952.8620693289039,48.45646412419042
1681381842.7963989,0,57,8,13,4,2023,745.1726684570312,9.5,40.550399999999996,21.907042743550846,952.8568720920016,48.461616139854655
1681381902.919557,0,58,8,13,4,2023,743.9378051757812,7.9,40.550399999999996,21.886779379617657,952.8676270461561,48.54906684901994
1681381962.8218315,0,59,8,13,4,2023,745.0462036132812,8.0,40.550399999999996,21.886779379617657,952.9050889371475,48.790466240476114
1681382022.927134,0,0,9,13,4,2023,746.152099609375,7.1,40.550399999999996,21.886779379617657,952.886358188443,48.81766531054257
1681382082.8244238,0,1,9,13,4,2023,746.7721557617188,7.1,40.550399999999996,21.891845220164395,952.886358188443,48.8505810656577
1681382142.928806,0,2,9,13,4,2023,745.1482543945312,6.6,40.550399999999996,21.87664769939729,952.9317966355005,48.85618323277685
1681382202.8107884,0,3,9,13,4,2023,744.635986328125,7.4,40.550399999999996,21.881713539361954,952.7368673201476,48.81766531054257
1681382262.9333713,0,4,9,13,4,2023,744.9791259765625,6.5,40.550399999999996,21.87664769939729,952.7396468201717,48.71891613187304
1681382322.8601797,0,5,9,13,4,2023,745.8968505859375,6.4,40.550399999999996,21.881713539361954,952.7902820811292,48.88291359660842
1681382382.9929483,0,6,9,13,4,2023,748.0463256835938,5.7,40.550399999999996,21.87664769939729,952.7288915533012,48.603705129414884
1681382443.3220973,0,7,9,13,4,2023,746.3140869140625,5.7,40.550399999999996,21.866516020341077,952.6862334195222,48.548390305043455
1681382502.8505077,0,8,9,13,4,2023,746.3140869140625,5.7,40.550399999999996,21.866516020341077,952.6862334195222,48.734800051075915
1681382562.9754584,0,9,9,13,4,2023,746.63623046875,4.7,40.550399999999996,21.86145018124953,952.7930602913755,48.96531364722291
1681382622.8579197,0,10,9,13,4,2023,747.5235595703125,5.2,40.550399999999996,21.87664769939729,952.7288915533012,49.14120355787067
1681382682.9668021,0,11,9,13,4,2023,749.6121215820312,5.0,40.550399999999996,21.881713539361954,952.7368673201476,48.86692244984494
1681382742.8886967,0,12,9,13,4,2023,747.1849365234375,5.2,40.550399999999996,21.881713539361954,952.6300380098581,48.97663755038922
1681382802.795082,0,13,9,13,4,2023,750.2158813476562,5.3,40.550399999999996,21.896911061002175,952.6352296815816,48.911276348305535
1681382862.8899655,0,14,9,13,4,2023,751.4027709960938,5.1,40.550399999999996,21.891845220164395,952.6459878682148,48.81801268628028
1681382922.7854624,0,15,9,13,4,2023,757.1943969726562,5.4,40.550399999999996,21.87664769939729,952.6113054194873,48.96029794629942
1681382982.8960636,0,16,9,13,4,2023,756.5673217773438,5.3,40.550399999999996,21.871581859723666,952.6407951328033,49.01491892913148
1681383042.7936633,0,17,9,13,4,2023,757.8245849609375,5.2,40.550399999999996,21.87664769939729,952.6061134508377,49.124389332218705
1681383102.9004157,0,18,9,13,4,2023,759.507568359375,4.0,42.3936,21.90197690213099,952.6619378484274,49.59147502952928
1681383162.8423462,0,19,9,13,4,2023,759.507568359375,4.2,40.550399999999996,21.91717442726367,952.5630794393094,49.13631521667943
1681383222.957483,0,20,9,13,4,2023,760.4757080078125,4.3,40.550399999999996,21.92730611214065,952.610924993338,49.02182138952318
1681383282.8582895,0,21,9,13,4,2023,761.4810791015625,5.3,40.550399999999996,21.92730611214065,952.5040865303962,48.85174238135809
1681383342.9544141,0,22,9,13,4,2023,760.3838500976562,5.5,40.550399999999996,21.91717442726367,952.6324454060718,48.911626818266356
