timestamp,seconds,minutes,hours,day,month,year,co2,co,PM1,PM2,light,temp in c,pressure,humidity
1680111162.2794964,28,28,13,29,3,2023,672.2427368164062,0.10,2.7,3.7,18.432,19.693297769129277,974.9829496725622,25.34421745876091
1680111165.9325764,32,28,13,29,3,2023,672.025146484375,0.10,2.6,3.7,22.1184,19.69836348365643,974.9726712392911,25.156733967625822
1680111169.5870783,35,28,13,29,3,2023,671.7521362304688,0.10,2.7,3.7,29.4912,19.71862634467543,975.0586330630888,25.073672591933406
1680111173.2330706,39,28,13,29,3,2023,672.1041259765625,0.10,2.7,3.7,20.275199999999998,19.72875777693116,974.9869175509511,25.49678910400728
1680111176.8799715,42,28,13,29,3,2023,670.5679321289062,0.09,2.7,3.9,20.275199999999998,19.72875777693116,974.9500063249675,25.62841538024601
1680111180.528724,46,28,13,29,3,2023,670.6073608398438,0.09,2.7,3.9,25.8048,19.738889210351044,974.9684621341077,25.853910213681257
1680111184.1756756,50,28,13,29,3,2023,669.842041015625,0.11,2.8,3.9,25.8048,19.74902064493508,975.0462499636309,25.479710462199442
1680111187.8247027,53,28,13,29,3,2023,669.4625244140625,0.11,2.8,3.9,31.3344,19.759152080683272,974.9827059041388,25.347484123780344
1680111191.4723802,57,28,13,29,3,2023,669.2821655273438,0.11,2.7,3.9,31.3344,19.77434923648834,974.9539661937835,25.20959867726949
1680111195.122391,1,29,13,29,3,2023,667.8650512695312,0.10,2.7,3.9,27.648,19.77941495567211,975.0235810956113,25.22029358742015
1680111198.7696466,4,29,13,29,3,2023,666.6469116210938,0.09,2.7,3.9,25.8048,19.79967783531756,975.0214731151967,25.3243028690432
1680111202.415758,8,29,13,29,3,2023,665.69775390625,0.10,2.8,3.9,27.648,19.80474355595652,974.9927300085479,25.16486264361304
1680111206.0670028,12,29,13,29,3,2023,665.9190673828125,0.10,2.7,3.1,27.648,19.80980927688652,974.9845553778365,25.065591956938384
1680111209.7174997,15,29,13,29,3,2023,664.5450439453125,0.10,3.7,3.1,25.8048,19.83007216351689,975.017254091871,25.120272173378023
1680111213.3665483,19,29,13,29,3,2023,664.0971069335938,0.11,3.7,3.1,27.648,19.83513788590208,974.9721589248142,26.225132454386973
1680111217.0183198,23,29,13,29,3,2023,664.0950317382812,0.10,3.7,3.1,25.8048,19.85033505480387,975.0233176816834,26.982551625731922
1680111220.6731362,26,29,13,29,3,2023,665.5210571289062,0.10,4.0,3.1,20.275199999999998,19.87059795074747,975.0826530490938,27.933225427895
1680111224.323411,30,29,13,29,3,2023,668.5379028320312,0.10,4.0,3.1,23.9616,19.875663675460963,974.931007894902,26.564561735467546
1680111227.9721637,34,29,13,29,3,2023,679.3300170898438,0.11,4.0,3.1,25.8048,19.88579512576107,974.947355365883,25.66774424203779
1680111231.621109,37,29,13,29,3,2023,690.632080078125,0.11,4.0,3.1,25.8048,19.895926577225328,975.0169780501402,25.447944040914578
1680111235.267873,41,29,13,29,3,2023,700.9727172851562,0.09,4.0,3.1,27.648,19.90605802985374,975.0066886657976,25.887392697093144
1680111238.9152238,45,29,13,29,3,2023,715.36279296875,0.08,4.1,3.0,29.4912,19.921255210979144,975.0045725169923,26.195283713512563
1680111242.5665386,48,29,13,29,3,2023,730.7507934570312,0.08,4.1,2.9,25.8048,19.931386666517938,975.0209205608643,25.68409469241919
1680111246.2159255,52,29,13,29,3,2023,729.4378662109375,0.09,4.1,3.0,29.4912,19.931386666517938,975.0024553468304,25.606237949731483
1680111249.861874,55,29,13,29,3,2023,725.4857177734375,0.11,4.1,2.8,22.1184,19.951649581087985,974.9736972439691,25.523310008443794
1680111253.5078597,59,29,13,29,3,2023,717.1534423828125,0.11,4.1,2.7,22.1184,19.96178104011924,975.0085109103873,25.836617298561826
1680111257.1535206,3,30,13,29,3,2023,712.5942993164062,0.09,4.1,2.8,22.1184,19.966846770071424,974.953110034822,25.9516669627621
1680111260.8017983,6,30,13,29,3,2023,709.0379638671875,0.09,4.5,2.7,22.1184,19.982043961674208,974.9960977075249,25.538927000088233
1680111264.4504213,10,30,13,29,3,2023,705.5870361328125,0.10,4.5,2.5,25.8048,19.997241155896337,975.0124447476625,25.47813416157345
1680111268.0976725,14,30,13,29,3,2023,706.1981201171875,0.12,4.6,2.1,22.1184,20.002306887885787,974.9570386810827,25.4831914617155
1680111271.7442396,17,30,13,29,3,2023,702.00537109375,0.10,4.5,2.1,22.1184,20.01243835273781,974.9119267506278,25.77454248483914
1680111275.3911421,21,30,13,29,3,2023,698.6599731445312,0.10,4.5,2.1,20.275199999999998,20.017504085600375,974.9282719633145,25.68625501601931
1680111279.0377579,25,30,13,29,3,2023,702.0126953125,0.10,4.5,2.4,20.275199999999998,20.017504085600375,974.9016290823897,25.988742161507965
1680111282.6840281,28,30,13,29,3,2023,727.4002075195312,0.10,4.4,2.4,18.432,20.027635552198625,974.952790020649,26.620725871297672
1680111286.3307953,32,30,13,29,3,2023,747.053466796875,0.10,4.4,2.2,18.432,20.03776701996103,974.952790020649,26.955999812324094
1680111289.9780095,36,30,13,29,3,2023,773.6685791015625,0.10,4.4,2.3,22.1184,20.05296422378742,974.977308363901,27.038342558293962
1680111293.633401,39,30,13,29,3,2023,807.0010375976562,0.12,4.4,3.3,22.1184,20.073227166297148,974.9567097707751,27.620606239878082
1680111297.2846625,43,30,13,29,3,2023,822.7078857421875,0.12,4.4,3.3,20.275199999999998,20.08335863929824,974.9197638866816,28.186450798816818
